episode,return,length
990,-95.3,464
991,94.2,773
992,162.1,578
993,200.6,569
994,195.9,585
995,136.3,642
996,-118.9,480
997,-101.3,562
998,-103.7,522
999,53.9,849
1000,118.3,726
1001,152.4,619
1002,195.3,611
1003,148.9,675
1004,-88.7,499
1005,-46.2,475
1006,167.7,576
1007,195.1,663
1008,28.8,1000
1009,80.8,1000
1010,127.0,701
1011,-99.3,536
1012,160.8,959
1013,-142.4,582
1014,-92.9,644
1015,-99.8,579
1016,118.5,872
1017,-88.5,507
1018,125.1,741
1019,128.1,740
1020,18.9,1000
1021,-134.5,555
1022,-52.0,1000
1023,-75.2,564
1024,175.0,744
1025,125.4,713
1026,-86.3,660
1027,-138.6,597
1028,166.7,637
1029,140.0,770
1030,196.9,580
1031,-95.7,570
1032,75.0,1000
1033,140.8,609
1034,150.0,711
1035,-103.2,631
1036,-130.9,676
1037,-86.3,576
1038,-133.3,644
1039,181.6,554
1040,94.6,846
1041,-59.4,545
1042,-101.8,506
1043,151.0,662
1044,191.5,677
1045,-25.3,1000
1046,106.6,708
1047,-133.2,731
1048,97.5,826
1049,160.3,769
1050,185.9,614
1051,-94.3,602
1052,129.5,767
1053,-113.0,449
1054,-64.8,438
1055,-46.4,451
1056,193.3,635
1057,153.2,680
1058,-142.8,748
1059,177.3,675
1060,151.1,665
1061,160.9,760
1062,182.3,580
1063,159.7,573
1064,204.3,846
1065,194.7,565
1066,9.6,1000
1067,109.8,764
1068,-18.9,449
1069,131.6,752
1070,162.6,575
1071,-65.7,465
1072,212.0,510
1073,-56.9,506
1074,142.6,520
1075,186.9,479
1076,189.6,475
1077,205.3,539
1078,-72.7,570
1079,130.4,649
1080,213.6,567
1081,184.0,492
1082,88.0,613
1083,168.5,635
1084,251.7,465
1085,191.5,488
1086,229.3,504
1087,-67.8,514
1088,-96.0,498
1089,171.0,503
1090,-161.3,764
1091,150.8,507
1092,141.5,722
1093,168.1,493
1094,197.1,551
1095,176.3,530
1096,204.3,599
1097,60.3,1000
1098,-140.4,691
1099,-97.7,555
1100,218.3,548
